record,name,year,debut,region,team,pos,gp,k
-------x---,K,2018,2018,EU,MAD Team,Support,6,1
-------x---,Kiin,2018,2018,KR,Kwangdong Freecs,Top,9,16
-------x---,Kikis,2018,2018,EU,Team Vitality,Jungle,6,14
-------x---,Lodik,2018,2018,CIS,Gambit Esports,ADC,9,24
-------x---,Meliodas,2018,2018,VNM,Phong Vũ Buffalo,Jungle,5,4
-------x---,MooJin,2018,2018,PCS,Flash Wolves,Jungle,7,23
-------x---,Mowgli,2018,2018,KR,Kwangdong Freecs,Jungle,2,3
-------x---,Nate,2018,2018,LAM,Kaos Latin Gamers,Top,4,10
-------x---,Niksar,2018,2018,PCS,Ascension Gaming,ADC,4,6
-------x---,Olleh,2018,2018,NA,Team Liquid,Support,6,4
-------x---,Ranger,2018,2018,BRL,KaBuM! e-Sports,Jungle,5,4
-------x---,Ray,2018,2018,CN,EDward Gaming,Top,17,45
-------x---,Relic,2018,2018,LAM,INFINITY,Top,8,10
-------x---,Renn,2018,2018,LAM,INFINITY,ADC,8,32
-------x---,Rich,2018,2018,PCS,Ascension Gaming,Support,4,2
-------x---,Rikara,2018,2018,NA,100 Thieves,ADC,6,18
-------x---,Riyev,2018,2018,BRL,KaBuM! e-Sports,Support,5,3
-------x---,Stitch,2018,2018,PCS,G-Rex,ADC,14,66
-------x---,Stomaged,2018,2018,TRK,SuperMassive Esports,Jungle,9,12
-------x---,TusiN,2018,2018,KR,Kwangdong Freecs,Support,9,2
-------x---,Ucal,2018,2018,KR,KT Rolster,Middle,11,32
-------x---,Udysof,2018,2018,OCE,Dire Wolves,Jungle,2,3
-------x---,viviD,2018,2018,LJL,DetonatioN FocusMe,Support,8,4
-------x---,Wadid,2018,2018,EU,G2 Esports,Support,24,11
-------x---,XuHao,2018,2018,VNM,Phong Vũ Buffalo,Jungle,1,5
-------x---,Zantins,2018,2018,BRL,KaBuM! e-Sports,Top,5,8
-x----x----,Archie,2017,2012,VNM,GAM Esports,Top,10,17
-xx-xxx----,PraY,2017,2012,KR,Longzhu Gaming,ADC,65,259
--x-xxx----,Mithy,2017,2013,EU,G2 Esports,Support,41,21
---xxxx----,GorillA,2017,2014,KR,Longzhu Gaming,Support,52,34
---x--x----,Jesiz,2017,2014,EU,Fnatic,Support,25,20
---xxxx----,Westdoor,2017,2014,PCS,ahq eSports Club,Middle,36,86
---x--x----,Zero,2017,2014,CN,Team WE,Support,23,12
----xxx----,AN,2017,2015,PCS,ahq eSports Club,ADC,22,70
----xxx----,Bang,2017,2015,KR,T1,ADC,65,225
----x-x----,Flame,2017,2015,NA,Immortals,Top,10,25
----xxx----,Mountain,2017,2015,PCS,ahq eSports Club,Jungle,22,41
----xxx----,Wolf,2017,2015,KR,T1,Support,51,33
-----xx----,Blank,2017,2016,KR,T1,Jungle,19,39
-----xx----,Chawy,2017,2016,PCS,ahq eSports Club,Middle,3,4
-----xx----,Expect,2017,2016,EU,G2 Esports,Top,12,30
-----xx----,Hauntzer,2017,2016,NA,TSM,Top,13,30
-----xx----,MMD,2017,2016,PCS,Flash Wolves,Top,12,22
-----xx----,Mouse,2017,2016,CN,EDward Gaming,Top,13,19
-----xx----,Smoothie,2017,2016,NA,Cloud9,Support,27,8
-----xx----,Trick,2017,2016,EU,G2 Esports,Jungle,12,11
------x----,957,2017,2017,CN,Team WE,Top,22,53
------x----,4LaN,2017,2017,BRL,Team oNe eSports,Jungle,9,15
------x----,Absolut,2017,2017,BRL,Team oNe eSports,ADC,9,33
------x----,Albis,2017,2017,PCS,ahq eSports Club,Support,6,0
------x----,Ben,2017,2017,CN,Team WE,Support,19,7
------x----,Blasting,2017,2017,CIS,Gambit Esports,ADC,4,7
------x----,Brucer,2017,2017,BRL,Team oNe eSports,Middle,4,5
